"secao","divisao","grupo","classe","subclasse","denominacao"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE OLEAGINOSAS DE LAVOURA TEMPORÁRIA, EXCETO SOJA","0116403","CULTIVO DE MAMONA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE OLEAGINOSAS DE LAVOURA TEMPORÁRIA, EXCETO SOJA","0116499","CULTIVO DE OUTRAS OLEAGINOSAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE","0119901","CULTIVO DE ABACAXI"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE","0119902","CULTIVO DE ALHO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE","0119903","CULTIVO DE BATATA INGLESA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE","0119904","CULTIVO DE CEBOLA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE","0119905","CULTIVO DE FEIJÃO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE","0119906","CULTIVO DE MANDIOCA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE","0119907","CULTIVO DE MELÃO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE","0119908","CULTIVO DE MELANCIA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE","0119909","CULTIVO DE TOMATE RASTEIRO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS TEMPORÁRIAS","CULTIVO DE PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE","0119999","CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORÁRIA NÃO ESPECIFICADAS ANTERIORMENTE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","HORTICULTURA E FLORICULTURA","HORTICULTURA","0121101","HORTICULTURA, EXCETO MORANGO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","HORTICULTURA E FLORICULTURA","HORTICULTURA","0121102","CULTIVO DE MORANGO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","HORTICULTURA E FLORICULTURA","CULTIVO DE FLORES E PLANTAS ORNAMENTAIS","0122900","CULTIVO DE FLORES E PLANTAS ORNAMENTAIS"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE LARANJA","0131800","CULTIVO DE LARANJA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE UVA","0132600","CULTIVO DE UVA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133406","CULTIVO DE GUARANÁ"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133403","CULTIVO DE CAJU"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133404","CULTIVO DE CÍTRICOS, EXCETO LARANJA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133405","CULTIVO DE COCO DA BAÍA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133401","CULTIVO DE AÇAÍ"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133402","CULTIVO DE BANANA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133407","CULTIVO DE MAÇÃ"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133408","CULTIVO DE MAMÃO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133409","CULTIVO DE MARACUJÁ"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133410","CULTIVO DE MANGA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133411","CULTIVO DE PÊSSEGO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE, EXCETO LARANJA E UVA","0133499","CULTIVO DE FRUTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE CAFÉ","0134200","CULTIVO DE CAFÉ"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE CACAU","0135100","CULTIVO DE CACAU"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE","0139301","CULTIVO DE CHÁ DA ÍNDIA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE","0139302","CULTIVO DE ERVA MATE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE","0139303","CULTIVO DE PIMENTA DO REINO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE","0139304","CULTIVO DE PLANTAS PARA CONDIMENTO, EXCETO PIMENTA DO REINO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE","0139305","CULTIVO DE DENDÊ"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE","0139306","CULTIVO DE SERINGUEIRA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE LAVOURAS PERMANENTES","CULTIVO DE PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE","0139399","CULTIVO DE OUTRAS PLANTAS DE LAVOURA PERMANENTE NÃO ESPECIFICADAS ANTERIORMENTE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE SEMENTES E MUDAS CERTIFICADAS","PRODUÇÃO DE SEMENTES CERTIFICADAS","0141501","PRODUÇÃO DE SEMENTES CERTIFICADAS, EXCETO DE FORRAGEIRAS PARA PASTO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE SEMENTES E MUDAS CERTIFICADAS","PRODUÇÃO DE SEMENTES CERTIFICADAS","0141502","PRODUÇÃO DE SEMENTES CERTIFICADAS DE FORRAGEIRAS PARA FORMAÇÃO DE PASTO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PRODUÇÃO DE SEMENTES E MUDAS CERTIFICADAS","PRODUÇÃO DE MUDAS E OUTRAS FORMAS DE PROPAGAÇÃO VEGETAL, CERTIFICADAS","0142300","PRODUÇÃO DE MUDAS E OUTRAS FORMAS DE PROPAGAÇÃO VEGETAL, CERTIFICADAS"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE BOVINOS","0151203","CRIAÇÃO DE BOVINOS, EXCETO PARA CORTE E LEITE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE BOVINOS","0151201","CRIAÇÃO DE BOVINOS PARA CORTE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE BOVINOS","0151202","CRIAÇÃO DE BOVINOS PARA LEITE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE OUTROS ANIMAIS DE GRANDE PORTE","0152103","CRIAÇÃO DE ASININOS E MUARES"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE OUTROS ANIMAIS DE GRANDE PORTE","0152101","CRIAÇÃO DE BUFALINOS"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE OUTROS ANIMAIS DE GRANDE PORTE","0152102","CRIAÇÃO DE EQUINOS"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE CAPRINOS E OVINOS","0153901","CRIAÇÃO DE CAPRINOS"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE CAPRINOS E OVINOS","0153902","CRIAÇÃO DE OVINOS, INCLUSIVE PARA PRODUÇÃO DE LÃ"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE SUÍNOS","0154700","CRIAÇÃO DE SUÍNOS"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE AVES","0155501","CRIAÇÃO DE FRANGOS PARA CORTE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE AVES","0155502","PRODUÇÃO DE PINTOS DE UM DIA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE AVES","0155503","CRIAÇÃO DE OUTROS GALINÁCEOS, EXCETO PARA CORTE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE AVES","0155504","CRIAÇÃO DE AVES, EXCETO GALINÁCEOS"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE AVES","0155505","PRODUÇÃO DE OVOS"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE ANIMAIS NÃO ESPECIFICADOS ANTERIORMENTE","0159801","APICULTURA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE ANIMAIS NÃO ESPECIFICADOS ANTERIORMENTE","0159802","CRIAÇÃO DE ANIMAIS DE ESTIMAÇÃO"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE ANIMAIS NÃO ESPECIFICADOS ANTERIORMENTE","0159803","CRIAÇÃO DE ESCARGÔ"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE ANIMAIS NÃO ESPECIFICADOS ANTERIORMENTE","0159804","CRIAÇÃO DE BICHO DA SEDA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","PECUÁRIA","CRIAÇÃO DE ANIMAIS NÃO ESPECIFICADOS ANTERIORMENTE","0159899","CRIAÇÃO DE OUTROS ANIMAIS NÃO ESPECIFICADOS ANTERIORMENTE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","ATIVIDADES DE APOIO À AGRICULTURA E À PECUÁRIA; ATIVIDADES DE PÓS-COLHEITA","ATIVIDADES DE APOIO À AGRICULTURA","0161002","SERVIÇO DE PODA DE ÁRVORES PARA LAVOURAS"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","ATIVIDADES DE APOIO À AGRICULTURA E À PECUÁRIA; ATIVIDADES DE PÓS-COLHEITA","ATIVIDADES DE APOIO À AGRICULTURA","0161001","SERVIÇO DE PULVERIZAÇÃO E CONTROLE DE PRAGAS AGRÍCOLAS"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","ATIVIDADES DE APOIO À AGRICULTURA E À PECUÁRIA; ATIVIDADES DE PÓS-COLHEITA","ATIVIDADES DE APOIO À AGRICULTURA","0161003","SERVIÇO DE PREPARAÇÃO DE TERRENO, CULTIVO E COLHEITA"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","ATIVIDADES DE APOIO À AGRICULTURA E À PECUÁRIA; ATIVIDADES DE PÓS-COLHEITA","ATIVIDADES DE APOIO À AGRICULTURA","0161099","ATIVIDADES DE APOIO À AGRICULTURA NÃO ESPECIFICADAS ANTERIORMENTE"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","ATIVIDADES DE APOIO À AGRICULTURA E À PECUÁRIA; ATIVIDADES DE PÓS-COLHEITA","ATIVIDADES DE APOIO À PECUÁRIA","0162801","SERVIÇO DE INSEMINAÇÃO ARTIFICIAL DE ANIMAIS"
"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","ATIVIDADES DE APOIO À AGRICULTURA E À PECUÁRIA; ATIVIDADES DE PÓS-COLHEITA","ATIVIDADES DE APOIO À PECUÁRIA","0162802","SERVIÇO DE TOSQUIAMENTO DE OVINOS"
